player,runs_scored,balls_faced_total,fours,sixes,balls_faced_legal,matches_played,innings_batted,dismissals,not_outs,batting_average,strike_rate,boundary_runs,boundary_percentage,dot_balls_x,dot_ball_percentage_x,highest_score,fifties,hundreds,runs_conceded,balls_bowled_total,wickets,balls_bowled_legal,matches_bowled,innings_bowled,overs_bowled,bowling_average,bowling_strike_rate,economy_rate,maidens,dot_balls_y,dot_ball_percentage_y,fours_conceded,sixes_conceded,no_balls,wides,best_bowling_wickets,best_bowling_runs,catches,stumpings,run_outs,total_fielding,image_id,image_url
MA Khote,24,22,2,1,22,3,3,2,1,12,109.0909091,14,58.33333333,10,45.45454545,9,0,0,52,30,2,30,2,2,5,26,15,10.4,0,5,16.66666667,4,2,0,0,2,0,0,0,0,0,,
MA Starc,105,109,11,0,109,16,16,8,8,13.125,96.33027523,44,41.9047619,46,42.20183486,29,0,0,1175,879,59,834,39,39,139,19.91525424,14.13559322,8.45323741,1,334,40.04796163,124,31,0,45,4,0,21,0,0,21,316644,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316644.png"
MA Wood,12,10,1,1,8,3,3,2,1,6,150,10,83.33333333,4,50,10,0,0,192,127,11,121,5,5,20.1,17.45454545,11,9.520661157,0,47,38.84297521,13,12,0,6,5,0,3,0,0,3,383149,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383149.png"
MB Parmar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,19,0,18,1,1,3,0,0,11,0,4,22.22222222,6,0,0,1,0,0,0,0,0,0,,
MC Henriques,1000,801,87,28,788,54,54,36,18,27.77777778,126.9035533,516,51.6,271,34.39086294,74,5,0,1302,979,46,951,60,60,158.3,28.30434783,20.67391304,8.214511041,0,306,32.17665615,123,38,0,28,3,0,29,0,1,30,321588,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321500/321588.png"
MC Juneja,125,134,11,1,128,7,7,7,0,17.85714286,97.65625,50,40,48,37.5,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
MD Mishra,237,213,24,8,208,17,17,15,2,15.8,113.9423077,144,60.75949367,97,46.63461538,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,
MD Shanaka,26,26,2,1,26,3,3,2,1,13,100,14,53.84615385,12,46.15384615,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,,
MDKJ Perera,14,13,3,0,13,2,2,2,0,7,107.6923077,12,85.71428571,8,61.53846154,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
MEK Hussey,1977,1648,198,52,1612,58,58,49,9,40.34693878,122.6426799,1104,55.84218513,607,37.65508685,116,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,1,27,319708,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319700/319708.png"
MF Maharoof,177,124,12,9,123,14,14,10,4,17.7,143.902439,102,57.62711864,43,34.95934959,39,0,0,532,441,33,425,20,20,70.5,16.12121212,12.87878788,7.510588235,0,165,38.82352941,46,16,0,16,4,1,4,0,1,5,,
MG Bracewell,58,49,6,1,47,4,4,2,2,29,123.4042553,30,51.72413793,15,31.91489362,26,0,0,95,66,6,66,5,5,11,15.83333333,11,8.636363636,0,26,39.39393939,7,6,0,0,2,0,1,0,0,1,383179,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383179.png"
MG Johnson,167,168,10,7,164,28,28,13,15,12.84615385,101.8292683,82,49.10179641,76,46.34146341,16,0,0,1740,1301,66,1244,54,54,207.2,26.36363636,18.84848485,8.392282958,3,535,43.00643087,196,55,0,57,4,2,15,0,4,19,316504,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316504.png"
MG Neser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,25,0,25,1,1,4.1,0,0,14.88,0,5,20,6,4,0,0,0,0,0,0,0,0,321609,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321600/321609.png"
MJ Clarke,98,96,12,0,94,6,6,6,0,16.33333333,104.2553191,48,48.97959184,41,43.61702128,41,0,0,72,66,3,66,5,5,11,24,22,6.545454545,0,22,33.33333333,4,2,0,0,1,0,1,0,0,1,316498,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316400/316498.png"
MJ Guptill,271,197,24,15,197,13,13,12,1,22.58333333,137.5634518,186,68.63468635,88,44.67005076,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,316591,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316591.png"
MJ Henry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,105,3,102,6,6,17,61,34,10.76470588,0,31,30.39215686,16,10,0,3,2,1,0,0,0,0,383178,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383178.png"
MJ Lumb,278,198,45,6,194,12,12,10,2,27.8,143.2989691,216,77.69784173,92,47.42268041,83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,322905,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322900/322905.png"
MJ McClenaghan,85,73,5,7,70,20,20,11,9,7.727272727,121.4285714,62,72.94117647,36,51.42857143,20,0,0,1839,1346,75,1283,56,56,213.5,24.52,17.10666667,8.600155885,1,507,39.5167576,181,72,0,63,4,0,1,0,1,2,316652,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316652.png"
MJ Santner,70,77,4,3,71,11,11,6,5,11.66666667,98.5915493,34,48.57142857,32,45.07042254,22,0,0,428,370,16,367,18,18,61.1,26.75,22.9375,6.997275204,0,134,36.51226158,36,11,0,3,2,0,6,0,2,8,383180,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383180.png"
MJ Suthar,1,2,0,0,2,1,1,1,0,1,50,0,0,1,50,1,0,0,26,12,0,12,1,1,2,0,0,13,0,4,33.33333333,1,3,0,0,0,0,0,0,0,0,,
MK Lomror,527,389,33,30,373,35,35,29,6,18.17241379,141.2868633,312,59.20303605,120,32.17158177,54,1,0,127,94,2,90,11,11,15,63.5,45,8.466666667,0,22,24.44444444,8,5,0,4,1,0,11,0,0,11,,
MK Pandey,3859,3288,335,111,3183,158,158,131,27,29.45801527,121.237826,2006,51.98237885,1142,35.87810242,114,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,13,98,323052,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/323000/323052.png"
MK Tiwary,1695,1489,156,40,1449,83,83,57,26,29.73684211,116.9772257,864,50.97345133,531,36.64596273,75,7,0,83,45,1,42,6,6,7,83,42,11.85714286,0,9,21.42857143,2,7,0,3,1,0,47,0,3,50,322616,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322600/322616.png"
ML Hayden,1107,839,121,44,806,32,32,27,5,41,137.3449132,748,67.57000903,334,41.43920596,93,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,14,319706,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319700/319706.png"
MM Ali,1162,849,95,67,821,57,57,49,8,23.71428571,141.5347138,782,67.29776248,318,38.73325213,93,6,0,900,770,40,759,52,52,126.3,22.5,18.975,7.114624506,0,266,35.04611331,38,48,0,11,4,0,20,0,2,22,383142,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383142.png"
MM Patel,39,41,5,0,41,12,12,5,7,7.8,95.12195122,20,51.28205128,18,43.90243902,23,0,0,1733,1382,82,1366,63,63,227.4,21.13414634,16.65853659,7.612005857,4,590,43.19180088,188,53,0,16,5,0,12,0,1,13,322625,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322600/322625.png"
MM Sharma,124,137,9,4,133,28,28,16,12,7.75,93.23308271,60,48.38709677,65,48.87218045,21,0,0,3278,2308,147,2260,111,111,376.4,22.29931973,15.37414966,8.702654867,1,782,34.60176991,322,120,0,48,5,0,24,0,3,27,316702,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316700/316702.png"
MN Samuels,161,174,9,7,172,14,14,11,3,14.63636364,93.60465116,78,48.44720497,84,48.8372093,46,0,0,285,219,10,214,11,11,35.4,28.5,21.4,7.990654206,0,79,36.91588785,23,12,0,5,3,0,2,0,0,2,316505,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316505.png"
MN van Wyk,167,135,19,1,132,5,5,3,2,55.66666667,126.5151515,82,49.10179641,41,31.06060606,74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,322084,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322000/322084.png"
MP Stoinis,1866,1366,150,91,1314,88,88,65,23,28.70769231,142.0091324,1146,61.414791,449,34.17047184,124,9,1,1300,831,45,804,62,62,134,28.88888889,17.86666667,9.701492537,0,219,27.23880597,105,60,0,27,4,0,24,0,0,24,321596,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321500/321596.png"
MP Yadav,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,76,8,74,4,4,12.2,11,9.25,7.135135135,1,39,52.7027027,11,3,0,2,4,0,1,0,0,1,373904,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/373900/373904.png"
MR Marsh,665,532,48,38,521,36,36,31,5,21.4516129,127.6391555,420,63.15789474,216,41.45873321,89,3,0,803,593,37,563,34,34,93.5,21.7027027,15.21621622,8.557726465,1,181,32.14920071,72,28,0,30,4,0,10,0,1,11,385798,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/385700/385798.png"
MS Bisla,798,737,93,23,702,39,39,36,3,22.16666667,113.6752137,510,63.90977444,340,48.43304843,92,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,7,3,30,,
MS Dhoni,5243,3947,363,252,3812,228,228,131,97,40.02290076,137.5393494,2964,56.53251955,1288,33.78803778,84,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,42,26,220,319946,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319900/319946.png"
MS Gony,99,76,6,8,71,15,15,9,6,11,139.4366197,72,72.72727273,34,47.88732394,42,0,0,1317,925,39,893,44,44,148.5,33.76923077,22.8974359,8.848824188,1,348,38.96976484,135,53,0,32,3,0,4,0,1,5,,
MS Wade,183,185,23,2,177,14,14,13,1,14.07692308,103.3898305,104,56.83060109,85,48.02259887,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,10,316594,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316594.png"
MV Boucher,394,318,32,13,309,23,23,14,9,28.14285714,127.5080906,206,52.28426396,107,34.62783172,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,1,18,320381,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320300/320381.png"
MW Short,117,99,15,4,92,6,6,6,0,19.5,127.173913,84,71.79487179,45,48.91304348,36,0,0,25,25,0,24,3,3,4,0,0,6.25,0,11,45.83333333,2,1,0,1,0,0,5,0,0,5,384252,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/384200/384252.png"
Mandeep Singh,1706,1418,176,38,1388,97,97,80,17,21.325,122.9106628,932,54.63071512,525,37.82420749,77,6,0,26,12,0,12,2,2,2,0,0,13,0,1,8.333333333,1,2,0,0,0,0,38,0,2,40,,
Mashrafe Mortaza,2,2,0,0,2,1,1,0,1,0,100,0,0,1,50,2,0,0,59,28,1,26,1,1,4.2,59,26,13.61538462,0,6,23.07692308,4,4,0,2,1,1,0,0,1,1,316529,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316529.png"
Mayank Dagar,0,1,0,0,1,1,1,0,1,0,0,0,0,1,100,0,0,0,205,138,2,137,8,8,22.5,102.5,68.5,8.97810219,0,43,31.38686131,14,11,0,1,1,0,3,0,0,3,,
Milind Kumar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,
Misbah-ul-Haq,117,82,10,6,81,8,8,7,1,16.71428571,144.4444444,76,64.95726496,30,37.03703704,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,316527,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316527.png"
Mohammad Ashraful,2,12,0,0,10,1,1,1,0,2,20,0,0,8,80,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,319729,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319700/319729.png"
Mohammad Asif,3,6,0,0,6,2,2,2,0,1.5,50,0,0,3,50,3,0,0,307,199,9,193,8,8,32.1,34.11111111,21.44444444,9.544041451,0,64,33.16062176,37,8,0,6,2,0,0,0,0,0,322214,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322200/322214.png"
Mohammad Hafeez,64,84,7,2,83,8,8,7,1,9.142857143,77.10843373,40,62.5,50,60.24096386,16,0,0,71,63,2,61,4,4,10.1,35.5,30.5,6.983606557,0,22,36.06557377,5,2,0,2,1,0,1,0,1,2,316528,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316528.png"
Mohammad Nabi,221,157,18,12,152,19,19,15,4,14.73333333,145.3947368,144,65.15837104,55,36.18421053,37,0,0,527,419,15,417,23,23,69.3,35.13333333,27.8,7.582733813,0,146,35.01199041,33,26,0,2,4,0,18,0,0,18,383215,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383200/383215.png"
Mohammed Shami,74,82,6,2,79,23,23,13,10,5.692307692,93.67088608,36,48.64864865,38,48.10126582,21,0,0,3486,2521,144,2442,110,110,407,24.20833333,16.95833333,8.565110565,2,984,40.29484029,360,126,0,79,4,0,17,0,6,23,316691,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316691.png"
Mohammed Siraj,109,122,10,4,119,20,20,9,11,12.11111111,91.59663866,64,58.71559633,65,54.62184874,14,0,0,2894,2081,96,1966,93,93,327.4,30.14583333,20.47916667,8.83214649,2,806,40.99694812,274,127,0,115,4,0,28,0,1,29,322611,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322600/322611.png"
Mohit Rathee,1,2,0,0,2,1,1,0,1,0,50,0,0,1,50,1,0,0,29,12,0,12,1,1,2,0,0,14.5,0,3,25,3,2,0,0,0,0,0,0,0,0,359760,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/359700/359760.png"
Mohsin Khan,25,27,2,1,24,5,5,2,3,12.5,104.1666667,14,56,12,50,13,0,0,698,507,27,486,23,23,81,25.85185185,18,8.617283951,1,209,43.00411523,61,35,0,21,4,0,2,0,0,2,359756,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/359700/359756.png"
Monu Kumar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16,0,13,1,1,2.1,0,0,9.230769231,0,4,30.76923077,2,0,0,3,0,0,0,0,0,0,,
Mujeeb Ur Rahman,12,15,2,0,15,6,6,3,3,4,80,8,66.66666667,9,60,10,0,0,598,452,20,434,19,19,72.2,29.9,21.7,8.267281106,0,147,33.87096774,39,25,0,18,3,0,2,0,0,2,383240,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383200/383240.png"
Mukesh Choudhary,6,6,1,0,6,2,2,0,2,0,100,4,66.66666667,3,50,4,0,0,452,298,16,280,14,14,46.4,28.25,17.5,9.685714286,0,120,42.85714286,49,20,0,18,4,0,3,0,0,3,,
Mukesh Kumar,10,20,0,0,18,5,5,1,4,10,55.55555556,0,0,8,44.44444444,6,0,0,707,420,31,403,20,20,67.1,22.80645161,13,10.52605459,0,130,32.25806452,75,32,0,17,4,1,4,0,1,5,,
Mustafizur Rahman,13,23,0,1,23,6,6,1,5,13,56.52173913,6,46.15384615,15,65.2173913,8,0,0,1792,1353,70,1306,57,57,217.4,25.6,18.65714286,8.232771822,2,464,35.52833078,165,57,0,47,4,0,5,0,0,5,383240,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383200/383240.png"
N Burger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,105,7,102,5,5,17,21.71428571,14.57142857,8.941176471,0,46,45.09803922,16,7,0,3,2,0,2,0,0,2,,
N Jagadeesan,162,155,21,2,147,10,10,9,1,18,110.2040816,96,59.25925926,65,44.21768707,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,339153,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/339100/339153.png"
N Pooran,1769,1143,113,127,1092,72,72,53,19,33.37735849,161.996337,1214,68.62634257,370,33.88278388,77,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,4,4,40,320109,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320100/320109.png"
N Rana,2636,2015,234,132,1952,101,101,92,9,28.65217391,135.0409836,1728,65.5538695,772,39.54918033,87,18,0,253,185,10,180,24,24,30,25.3,18,8.433333333,1,58,32.22222222,27,7,0,5,2,0,24,0,1,25,323054,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/323000/323054.png"
N Saini,140,143,16,0,141,10,10,10,0,14,99.29078014,64,45.71428571,66,46.80851064,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,1,14,,
N Thushara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,172,8,158,7,7,26.2,32.375,19.75,9.835443038,0,49,31.01265823,25,10,0,14,3,0,1,0,1,2,343442,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/343400/343442.png"
N Wadhera,350,261,32,18,250,16,16,15,1,23.33333333,140,236,67.42857143,96,38.4,64,2,0,13,12,0,12,1,1,2,0,0,6.5,0,2,16.66666667,1,0,0,0,0,0,6,0,1,7,381388,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/381300/381388.png"
NA Saini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,15,0,15,1,1,2.3,0,0,14,0,2,13.33333333,3,2,0,0,0,0,0,0,0,0,,
NB Singh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,25,1,24,2,2,4,18,24,4.5,0,13,54.16666667,2,0,0,1,1,0,0,0,0,0,,
ND Doshi,0,13,0,0,13,1,1,1,0,0,0,0,0,13,100,0,0,0,79,57,2,56,4,4,9.2,39.5,28,8.464285714,0,24,42.85714286,5,6,0,1,1,0,0,0,0,0,,
NJ Maddinson,20,21,4,0,21,3,3,3,0,6.666666667,95.23809524,16,80,15,71.42857143,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,321599,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321500/321599.png"
NJ Rimmington,1,1,0,0,1,1,1,0,1,0,100,0,0,0,0,1,0,0,20,18,0,18,1,1,3,0,0,6.666666667,0,9,50,3,0,0,0,0,0,0,0,0,0,,
NK Patel,121,124,14,1,119,6,6,4,2,30.25,101.6806723,62,51.23966942,56,47.05882353,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,,
NL McCullum,26,23,0,1,22,2,2,1,1,26,118.1818182,6,23.07692308,7,31.81818182,15,0,0,35,30,0,30,2,2,5,0,0,7,0,10,33.33333333,1,2,0,0,0,0,1,0,0,1,316510,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316510.png"
NLTC Perera,424,326,23,26,309,30,30,22,8,19.27272727,137.2168285,248,58.49056604,112,36.24595469,40,0,0,1031,715,37,701,36,36,116.5,27.86486486,18.94594595,8.824536377,1,227,32.38231098,113,28,0,14,3,0,13,0,4,17,,
NM Coulter-Nile,82,75,7,4,72,16,16,10,6,8.2,113.8888889,52,63.41463415,36,50,24,0,0,1125,892,52,866,38,38,144.2,21.63461538,16.65384615,7.794457275,1,368,42.49422633,123,34,0,26,4,0,10,0,2,12,316607,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316607.png"
NS Naik,31,53,2,0,50,4,4,4,0,7.75,62,8,25.80645161,28,56,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,,
NT Ellis,19,26,0,1,25,5,5,4,1,4.75,76,6,31.57894737,13,52,12,0,0,514,365,19,357,16,16,59.3,27.05263158,18.78947368,8.638655462,0,112,31.37254902,43,20,0,8,4,0,2,0,0,2,329711,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/329700/329711.png"
NV Ojha,1554,1360,121,79,1313,94,94,72,22,21.58333333,118.3549124,958,61.64736165,601,45.77303884,94,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,10,7,82,322612,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322600/322612.png"
Naman Dhir,140,84,12,10,79,7,7,6,1,23.33333333,177.2151899,108,77.14285714,30,37.97468354,62,1,0,55,29,0,28,3,3,4.4,0,0,11.78571429,0,3,10.71428571,5,2,0,1,0,0,3,0,1,4,381384,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/381300/381384.png"
Navdeep Saini,33,38,3,0,37,7,7,4,3,8.25,89.18918919,12,36.36363636,16,43.24324324,12,0,0,968,682,26,661,31,31,110.1,37.23076923,25.42307692,8.786686838,1,272,41.14977307,103,38,0,21,3,0,8,0,0,8,,
Naveen-ul-Haq,18,26,2,0,25,4,4,1,3,18,72,8,44.44444444,15,60,13,0,0,602,407,26,392,17,17,65.2,23.15384615,15.07692308,9.214285714,0,133,33.92857143,54,24,0,15,4,0,6,0,0,6,383238,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383200/383238.png"
Nithish Kumar Reddy,303,221,15,21,212,11,11,9,2,33.66666667,142.9245283,186,61.38613861,73,34.43396226,76,2,0,208,118,4,111,9,9,18.3,52,27.75,11.24324324,1,29,26.12612613,14,14,0,7,2,0,6,0,1,7,,
Noor Ahmad,13,18,2,0,18,5,5,4,1,3.25,72.22222222,8,61.53846154,11,61.11111111,7,0,0,672,513,24,493,23,23,82.1,28,20.54166667,8.178498986,0,171,34.68559838,49,27,0,20,3,0,6,0,0,6,383239,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383200/383239.png"
O Thomas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,63,5,62,4,4,10.2,17,12.4,8.225806452,0,17,27.41935484,9,1,0,1,2,0,1,0,0,1,322032,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322000/322032.png"
OA Shah,506,405,34,23,389,22,22,12,10,42.16666667,130.0771208,274,54.15019763,133,34.19023136,76,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,8,322922,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322900/322922.png"
OC McCoy,8,5,0,1,5,1,1,0,1,0,160,6,75,2,40,8,0,0,255,180,11,163,8,8,27.1,23.18181818,14.81818182,9.386503067,0,49,30.06134969,20,9,0,17,3,0,1,0,0,1,322031,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322000/322031.png"
OF Smith,51,50,1,5,44,6,6,3,3,17,115.9090909,34,66.66666667,23,52.27272727,25,0,0,179,95,7,91,6,6,15.1,25.57142857,13,11.8021978,0,35,38.46153846,12,16,0,4,4,0,2,0,0,2,351853,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/351800/351853.png"
P Amarnath,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,132,7,132,6,6,22,34.42857143,18.85714286,10.95454545,0,29,21.96969697,29,7,0,0,2,0,2,0,0,2,,
P Awana,5,14,0,0,14,5,5,2,3,2.5,35.71428571,0,0,9,64.28571429,4,0,0,1046,774,43,751,33,33,125.1,24.3255814,17.46511628,8.356857523,1,293,39.01464714,107,35,0,23,4,0,4,0,1,5,,
P Chopra,8,6,2,0,6,1,1,1,0,8,133.3333333,8,100,4,66.66666667,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,
P Dogra,127,141,4,5,138,12,12,8,4,15.875,92.02898551,46,36.22047244,60,43.47826087,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,6,,
